property,count
free=1;adSupported=0;year_bucket_range=[2014-2015];,4
free=0;adSupported=1;year_bucket_range=[2022-2023];,2
free=1;adSupported=1;install_bucket_range=[1000000-1100000];,14
free=1;adSupported=1;install_bucket_range=[500000-600000];,10
free=1;adSupported=1;install_bucket_range=[0-100000];,2454
free=0;adSupported=0;install_bucket_range=[0-100000];,123
free=1;adSupported=1;install_bucket_range=[100000-200000];,69
free=1;adSupported=0;install_bucket_range=[0-100000];,1288
free=1;adSupported=1;install_bucket_range=[5000000-5100000];,5
free=1;adSupported=0;install_bucket_range=[100000-200000];,13
free=0;adSupported=1;install_bucket_range=[0-100000];,4
free=1;adSupported=1;price_bucket_range=[0-5];,2553
free=0;adSupported=0;price_bucket_range=[0-5];,88
free=0;adSupported=0;price_bucket_range=[5-10];,23
free=1;adSupported=0;price_bucket_range=[0-5];,1302
free=0;adSupported=0;price_bucket_range=[10-15];,5
free=0;adSupported=1;price_bucket_range=[0-5];,2
free=0;adSupported=0;price_bucket_range=[15-20];,4
free=1;adSupported=1;rating_bucket_range=[10000-20000];,6
free=1;adSupported=1;rating_bucket_range=[0-10000];,2540
free=0;adSupported=0;rating_bucket_range=[0-10000];,123
